[2026-08-23 09:24:06.260930] ====================================================================================================
[2026-08-23 09:24:06.261006] Branching from: experiments/exp000_muon_and_adamw/muon/seed_1337/rules.two_d.lr_0.02 step=500 branch_specs=['continue']
[2026-08-23 09:24:06.261053] Config: TrainConfig(data_source='data/fineweb10B_v500', train_steps=8000, report_steps=200, seq_len=1024, val_size=2097152, batch_size=32768, mbs=32, vocab_size=500, num_layers=1, model_dim=192, train_data_pattern='fineweb_train_*.bin', val_data_pattern='fineweb_val_*.bin', seed=1337, model_type='gpt', expansion_ratio=4.0, head_dim=64, num_heads=3, embed_dim=None, num_tokens=None, zero_proj_init=False, lr_cooldown_frac=0.7, geon_eps=1e-10, geon_s_min=1e-05, geon_s_max=100000.0, checkpoint_steps=[0, 1, 10, 100, 500, 1000, 2000, 4000, 6000, 8000])
[2026-08-23 09:24:06.261101] Rules: [Rule(name='embed', patterns=['embed.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.3, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='proj', patterns=['proj.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003125, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='one_d', patterns=['*.bias', '*.gains'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.01, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='two_d', patterns=['blocks.*.attn.*.weight', 'blocks.*.mlp.*.weight'], start=0, end=None, update='muon', sizing='learning_rate', lr=0.02, betas=(0.9, 0.95), nesterov=False, wd_raw=0.0002, coeff=1.0, warmup_steps=0)]
[2026-08-23 09:24:06.261132] end_step: 500
[2026-08-23 09:24:06.261162] ====================================================================================================
[2026-08-23 09:24:06.330507]   [compile] trunk: 0.01s
[2026-08-23 09:24:06.380958] loaded checkpoint experiments/exp000_muon_and_adamw/muon/seed_1337/rules.two_d.lr_0.02/checkpoints/step_500.pt at step 500
[2026-08-23 09:24:06.381407] forking at step 500 ...
[2026-08-23 09:24:06.629236]   [branch @ step 500] pre-fork val_loss=3.01660
[2026-08-23 09:24:06.629426]   [branch @ step 500] 'continue' (index=0) -> {'rules.two_d.update': 'muon', 'rules.two_d.sizing': 'learning_rate', 'rules.two_d.lr': 0.02, 'rules.two_d.betas': [0.9, 0.95], 'rules.two_d.nesterov': False, 'rules.two_d.wd_raw': 0.0002}
[2026-08-23 09:24:06.647532]   [compile] continue: 0.01s
[2026-08-23 09:24:06.657966]   [branch @ step 500] checkpointed branches at step=500
[2026-08-23 09:24:06.957922]     [branch @ step 500] 'continue' iter=0 applied train_loss=3.00275 kl=0.00387471 scale=1.0000 post_val_loss=3.01844
[2026-08-23 09:24:06.966726]   [branch @ step 500] checkpointed branches at step=501
[2026-08-23 09:24:07.267932]     [branch @ step 500] 'continue' iter=1 applied train_loss=3.03760 kl=0.00287171 scale=1.0000 post_val_loss=3.01886
[2026-08-23 09:24:07.274204]   [branch @ step 500] checkpointed branches at step=502
[2026-08-23 09:24:07.582134]     [branch @ step 500] 'continue' iter=2 applied train_loss=3.03406 kl=0.0031422 scale=1.0000 post_val_loss=3.01541
[2026-08-23 09:24:07.588304]   [branch @ step 500] checkpointed branches at step=503
[2026-08-23 09:24:07.893395]     [branch @ step 500] 'continue' iter=3 applied train_loss=2.97405 kl=0.00279699 scale=1.0000 post_val_loss=3.01494
[2026-08-23 09:24:07.904442]   [branch @ step 500] checkpointed branches at step=504
[2026-08-23 09:24:08.205703]     [branch @ step 500] 'continue' iter=4 applied train_loss=2.96581 kl=0.00357041 scale=1.0000 post_val_loss=3.01429
[2026-08-23 09:24:08.214194]   [branch @ step 500] checkpointed branches at step=505
[2026-08-23 09:24:08.519113]     [branch @ step 500] 'continue' iter=5 applied train_loss=2.98363 kl=0.00235054 scale=1.0000 post_val_loss=3.01518
[2026-08-23 09:24:08.525328]   [branch @ step 500] checkpointed branches at step=506
[2026-08-23 09:24:08.830292]     [branch @ step 500] 'continue' iter=6 applied train_loss=3.02921 kl=0.00241691 scale=1.0000 post_val_loss=3.01496
[2026-08-23 09:24:08.836466]   [branch @ step 500] checkpointed branches at step=507
[2026-08-23 09:24:09.140905]     [branch @ step 500] 'continue' iter=7 applied train_loss=2.91485 kl=0.00292698 scale=1.0000 post_val_loss=3.01162
[2026-08-23 09:24:09.151912]   [branch @ step 500] checkpointed branches at step=508
[2026-08-23 09:24:09.454543]     [branch @ step 500] 'continue' iter=8 applied train_loss=3.09940 kl=0.00439857 scale=1.0000 post_val_loss=3.01287
[2026-08-23 09:24:09.460726]   [branch @ step 500] checkpointed branches at step=509
[2026-08-23 09:24:09.765274]     [branch @ step 500] 'continue' iter=9 applied train_loss=2.96259 kl=0.0026483 scale=1.0000 post_val_loss=3.01552
[2026-08-23 09:24:09.771474]   [branch @ step 500] checkpointed branches at step=510
