[2026-08-23 02:41:10.851544] ====================================================================================================
[2026-08-23 02:41:10.851644] Config: TrainConfig(data_source='data/fineweb10B_v500', train_steps=16000, report_steps=200, seq_len=1024, val_size=2097152, batch_size=32768, mbs=32, vocab_size=500, num_layers=1, model_dim=192, train_data_pattern='fineweb_train_*.bin', val_data_pattern='fineweb_val_*.bin', seed=1337, model_type='gpt', expansion_ratio=4.0, head_dim=64, num_heads=3, embed_dim=None, num_tokens=None, zero_proj_init=False, lr_cooldown_frac=0.7, geon_eps=1e-10, geon_s_min=1e-05, geon_s_max=100000.0, checkpoint_steps=None)
[2026-08-23 02:41:10.851708] Rules: [Rule(name='embed', patterns=['embed.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.3, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='proj', patterns=['proj.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003125, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='one_d', patterns=['*.bias', '*.gains'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.01, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='two_d', patterns=['blocks.*.attn.*.weight', 'blocks.*.mlp.*.weight'], start=0, end=None, update='muon', sizing='learning_rate', lr=0.02, betas=(0.9, 0.95), nesterov=False, wd_raw=0.0002, coeff=1.0, warmup_steps=0)]
[2026-08-23 02:41:10.851740] ====================================================================================================
[2026-08-23 02:41:10.851774] Running PyTorch 2.13.0+cu130 compiled for CUDA 13.0
[2026-08-23 02:41:10.851800] ====================================================================================================
[2026-08-23 02:41:10.956336] rules OK: 4 rules uniquely cover 19 params x [0, 16000) steps
[2026-08-23 02:43:16.152709] step:7000/16000 rolling_loss:2.77528 val_loss:2.76823 train_time:115.621s step_avg:16.52ms
[2026-08-23 02:43:19.748210] step:7200/16000 rolling_loss:2.75858 val_loss:2.76519 train_time:118.948s step_avg:16.52ms
[2026-08-23 02:43:23.338517] step:7400/16000 rolling_loss:2.77235 val_loss:2.77410 train_time:122.271s step_avg:16.52ms
[2026-08-23 02:43:26.924105] step:7600/16000 rolling_loss:2.74669 val_loss:2.76817 train_time:125.588s step_avg:16.52ms
[2026-08-23 02:43:30.513161] step:7800/16000 rolling_loss:2.75157 val_loss:2.75630 train_time:128.910s step_avg:16.53ms
[2026-08-23 02:43:34.105126] step:8000/16000 rolling_loss:2.74431 val_loss:2.76703 train_time:132.234s step_avg:16.53ms
[2026-08-23 02:43:37.698801] step:8200/16000 rolling_loss:2.75631 val_loss:2.75307 train_time:135.559s step_avg:16.53ms
[2026-08-23 02:43:41.293096] step:8400/16000 rolling_loss:2.74631 val_loss:2.75903 train_time:138.885s step_avg:16.53ms
[2026-08-23 02:43:44.885904] step:8600/16000 rolling_loss:2.77455 val_loss:2.75069 train_time:142.210s step_avg:16.54ms
[2026-08-23 02:43:48.480291] step:8800/16000 rolling_loss:2.75627 val_loss:2.74632 train_time:145.537s step_avg:16.54ms
[2026-08-23 02:43:52.081297] step:9000/16000 rolling_loss:2.73217 val_loss:2.74317 train_time:148.868s step_avg:16.54ms
[2026-08-23 02:43:55.912335] step:9200/16000 rolling_loss:2.72071 val_loss:2.74472 train_time:152.432s step_avg:16.57ms
[2026-08-23 02:43:59.505772] step:9400/16000 rolling_loss:2.71419 val_loss:2.74400 train_time:155.757s step_avg:16.57ms
[2026-08-23 02:44:03.101486] step:9600/16000 rolling_loss:2.72197 val_loss:2.74001 train_time:159.086s step_avg:16.57ms
[2026-08-23 02:44:06.705162] step:9800/16000 rolling_loss:2.70947 val_loss:2.73604 train_time:162.421s step_avg:16.57ms
[2026-08-23 02:44:10.304580] step:10000/16000 rolling_loss:2.73400 val_loss:2.73652 train_time:165.752s step_avg:16.58ms
[2026-08-23 02:44:13.907872] step:10200/16000 rolling_loss:2.72290 val_loss:2.73637 train_time:169.085s step_avg:16.58ms
[2026-08-23 02:44:17.510679] step:10400/16000 rolling_loss:2.72308 val_loss:2.73529 train_time:172.420s step_avg:16.58ms
[2026-08-23 02:44:21.112694] step:10600/16000 rolling_loss:2.73122 val_loss:2.72613 train_time:175.753s step_avg:16.58ms
[2026-08-23 02:44:24.722195] step:10800/16000 rolling_loss:2.71914 val_loss:2.72773 train_time:179.094s step_avg:16.58ms
[2026-08-23 02:44:28.320942] step:11000/16000 rolling_loss:2.70446 val_loss:2.72272 train_time:182.428s step_avg:16.58ms
[2026-08-23 02:44:31.927112] step:11200/16000 rolling_loss:2.73039 val_loss:2.72268 train_time:185.764s step_avg:16.59ms
[2026-08-23 02:44:35.526714] step:11400/16000 rolling_loss:2.70323 val_loss:2.72048 train_time:189.094s step_avg:16.59ms
[2026-08-23 02:44:39.138408] step:11600/16000 rolling_loss:2.71220 val_loss:2.71663 train_time:192.436s step_avg:16.59ms
[2026-08-23 02:44:42.741605] step:11800/16000 rolling_loss:2.74582 val_loss:2.71630 train_time:195.769s step_avg:16.59ms
[2026-08-23 02:44:46.341187] step:12000/16000 rolling_loss:2.69037 val_loss:2.71552 train_time:199.099s step_avg:16.59ms
